"LANGUAGE","日本語"
"MOD_NAME","More PathUnits"
"MOD_DESCRIPTION","ゲームでサポートされている、PathUnits(経路探索用) の数を増やします"
"INCREASE_UNITS","PathUnitの制限数を拡張 (デフォルトの制限数: 262,144)"
"DOUBLE_UNITS","PathUnitの上限を524,288に倍増"
"EXPANDED_WARN","PathUnitの制限を拡張後に保存したゲームは、このMOD無しでの都市の再ロードは不可能です。更に元に戻すことはできません！！"
"EXPANDED_ALWAYS","PathUnitの上限を拡張したセーブは、常に拡張された上限で都市をロードします。"
