"LANGUAGE","简体中文"
"MOD_NAME","更多路径单位"
"MOD_DESCRIPTION","增加游戏支持的路径单元（用于寻路）。"
"INCREASE_UNITS","增加路径单位上限 (游戏默认：262,144)"
"DOUBLE_UNITS","双倍路径单位上限为 524 288"
"EXPANDED_WARN","使用本模组提高路径单位上限的存档将无法在没有此模组的情况下重新加载。这不是可以撤销的。"
"EXPANDED_ALWAYS","使用本模组提高路径单位上限的存档总会加载被提高的限制。"
