"LANGUAGE","Nederlands"
"MOD_NAME","More PathUnits"
"MOD_DESCRIPTION","Verhoogt het aantal PathUnits ondersteund door het spel (voor het vinden van paden)."
"INCREASE_UNITS","Verhoogt de limiet van PathUnit (basisspel: 262.144)"
"DOUBLE_UNITS","Verdubbelt de limiet van PathUnit tot 524.288"
"EXPANDED_WARN","Spellen opgeslagen met verhoogde PathUnit limieten kunnen NIET geladen worden zonder deze mod. Dit is NIET omkeerbaar."
"EXPANDED_ALWAYS","Opslagbestanden met verhoogde PathUnit limieten worden altijd geladen met de verhoogde limiet."
