"LANGUAGE","繁體中文"
"MOD_NAME","更多路徑單位"
"MOD_DESCRIPTION","增加遊戲支援的尋路路徑單元"
"INCREASE_UNITS","增加路徑單位上限（遊戲預設：262,144）"
"DOUBLE_UNITS","路徑單位倍增後的上限為：524,288"
"EXPANDED_WARN","使用本模組提高路徑單元限制的存檔，將無法在不加載本模組的情況下重新載入，且不可回復。"
"EXPANDED_ALWAYS","使用本模組提高路徑單元限制的存檔，總會載入提高的限制。"
