"LANGUAGE","Русский"
"MOD_NAME","Больше PathUnits"
"MOD_DESCRIPTION","Увеличивает количество PathUnits (для поиска пути), поддерживаемых игрой."
"INCREASE_UNITS","Увеличить ограничение PathUnit (базовая игра: 262 144)"
"DOUBLE_UNITS","Удвоить ограничение PathUnit до 524 288"
"EXPANDED_WARN","Игры, сохранённые с расширенными ограничениями PathUnit, НЕ будут загружаться без этого мода. Это НЕ обратимо."
"EXPANDED_ALWAYS","Сохранения с увеличенными ограничениями PathUnit всегда будут загружаться с увеличенными ограничениями."
