"LANGUAGE","Deutsch"
"MOD_NAME","More PathUnits"
"MOD_DESCRIPTION","Erhöht die Anzahl der vom Spiel unterstützten PathUnits (zum Finden der Pfade)."
"INCREASE_UNITS","Erhöht das PathUnit Limit (Basisspiel: 262.144)"
"DOUBLE_UNITS","Verdoppelt das PathUnit Limit auf 524.288"
"EXPANDED_WARN","Spiele, die mit erweiterten Limits von PathUnit gespeichert werden, können ohne diese Mod NICHT geladen werden. Dies ist NICHT umkehrbar."
"EXPANDED_ALWAYS","Spielstände mit erweiterten Limits der PathUnit werden immer mit dem erweiterten Limit geladen."
