"LANGUAGE","English"
"MOD_NAME","More PathUnits"
"MOD_DESCRIPTION","Increases the number of PathUnits (for pathfinding) supported by the game."
"INCREASE_UNITS","Increase PathUnit limit (base game: 262,144)"
"DOUBLE_UNITS","Double PathUnit limit to 524,288"
"EXPANDED_WARN","Games saved with expanded PathUnit limits will NOT be reloadable without this mod. This is NOT reversible."
"EXPANDED_ALWAYS","Saves with expanded PathUnit limits will always be loaded with the expanded limit."
