"LANGUAGE","Português brasileiro"
"MOD_NAME","Mais unidade de percurso"
"MOD_DESCRIPTION","Aumenta o número de unidade de percurso (para encontrar caminhos) suportados pelo jogo."
"INCREASE_UNITS","Aumentar limite de unidade de percurso (jogo de base: 262,144)"
"DOUBLE_UNITS","Limite de unidade de percurso duplo para 524,288"
"EXPANDED_WARN","Jogos salvos com os limites de unidade de percurso expandidos NÃO serão recarregáveis sem esse mod. Isso NÃO é reversível."
"EXPANDED_ALWAYS","Os salvamentos com limites expandidos de unidade de percurso sempre serão carregados com o limite expandido."
