"LANGUAGE","Español"
"MOD_NAME","Más Rutas (PathUnits)"
"MOD_DESCRIPTION","Aumenta el número de rutas (para buscar rutas) soportadas por el juego."
"INCREASE_UNITS","Aumentar el límite de rutas (juego base: 262,144)"
"DOUBLE_UNITS","Duplicar el límite de rutas a 524,288"
"EXPANDED_WARN","Las partidas guardadas con límites ampliados de PathUnits (Rutas) NO serán recargables sin este mod. Esto NO es reversible."
"EXPANDED_ALWAYS","Las partidas guardadas con límites de PathUnit (Rutas) aumentados siempre se cargarán con el límite ampliado."
